City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Harper,4.38,-7.72,24.16,76,71,3.72,LR,1594770163
Nadym,65.53,72.52,13.77,70,98,5.56,RU,1594770163
Richards Bay,-28.78,32.04,14.02,51,28,7.83,ZA,1594770164
Mogyoród,47.6,19.24,15.56,87,94,1.0,HU,1594770012
Vila Franca do Campo,37.72,-25.43,20.0,88,20,2.1,PT,1594770164
Borzya,50.38,116.52,22.37,74,14,3.9,RU,1594770164
Bucerías,20.75,-105.33,31.11,74,75,5.1,MX,1594770164
St. Pete Beach,27.73,-82.74,32.22,66,20,5.1,US,1594770164
Hailey,43.52,-114.32,24.3,19,0,4.43,US,1594770164
Hirado,33.36,129.55,23.89,94,75,1.0,JP,1594770164
Port Hardy,50.7,-127.42,17.0,72,75,1.5,CA,1594770164
Pingliang,35.54,106.69,17.46,80,17,1.26,CN,1594770164
Galveston,29.37,-94.97,32.78,66,40,7.2,US,1594770143
Ust-Kuyga,70.02,135.6,16.62,51,33,4.69,RU,1594770164
Neuquén,-38.95,-68.06,9.0,45,57,2.1,AR,1594770165
Claveria,18.61,121.08,29.48,63,3,0.88,PH,1594770165
Ulaangom,49.98,92.07,15.61,78,100,4.44,MN,1594770165
Gamba,-2.65,10.0,20.97,93,100,1.54,GA,1594770165
Mareeba,-17.0,145.43,22.22,56,7,2.68,AU,1594770165
Eureka,40.8,-124.16,20.56,33,1,1.34,US,1594770165
Athabasca,54.72,-113.29,20.25,62,42,6.23,CA,1594769978
Médéa,36.26,2.75,24.0,88,40,4.1,DZ,1594770165
Ossora,59.24,163.07,12.81,86,100,1.71,RU,1594770165
Najrān,17.49,44.13,31.0,15,0,2.1,SA,1594770165
Bentiu,9.23,29.83,22.91,90,76,2.1,SS,1594770165
Ternate,0.8,127.4,26.61,79,91,1.96,ID,1594770110
Yar-Sale,66.83,70.83,12.39,66,100,2.45,RU,1594770166
Pitimbu,-7.47,-34.81,24.0,88,42,4.1,BR,1594770166
Ludwigslust,53.32,11.5,15.56,96,100,2.24,DE,1594770166
Duliāgaon,27.37,95.32,24.38,97,100,0.97,IN,1594770166
Boone,39.03,-92.33,33.0,62,1,3.1,US,1594770166
Departamento de Maldonado,-34.67,-54.92,5.0,79,0,2.1,UY,1594770166
Calama,-22.47,-68.93,12.0,3,0,2.1,CL,1594769977
Guider,9.93,13.95,22.04,92,100,1.99,CM,1594770166
Camabatela,-8.19,15.38,12.96,97,22,1.84,AO,1594770166
Fallon,39.47,-118.78,35.0,9,1,2.6,US,1594770167
Emerald,-23.53,148.17,12.0,58,0,3.1,AU,1594769997
Saint-Pierre,-21.34,55.48,20.0,72,20,2.6,RE,1594770167
Duvan,55.7,57.9,19.06,84,98,2.21,RU,1594770167
Somerset West,-34.08,18.82,8.0,81,0,2.6,ZA,1594770096
San Blas,21.52,-105.27,30.0,62,40,5.1,MX,1594770167
Biak,-0.91,122.88,26.04,82,95,2.18,ID,1594770167
Nabire,-3.37,135.48,27.13,76,88,1.07,ID,1594770167
Manbij,36.53,37.95,27.0,47,0,0.5,SY,1594770167
Jiuquan,39.74,98.52,23.59,21,81,2.48,CN,1594770167
Nishihara,26.18,127.76,31.0,84,75,6.2,JP,1594770167
Menongue,-14.66,17.69,8.03,48,0,2.0,AO,1594770167
Campos Belos,-13.04,-46.77,21.06,33,71,0.97,BR,1594770168
Tahe,52.33,124.73,22.51,80,100,1.35,CN,1594770168
Cedartown,34.05,-85.25,32.22,60,30,1.18,US,1594770168
Brae,60.4,-1.35,11.0,93,38,2.6,GB,1594770168
Lavrentiya,65.58,-171.0,6.65,94,100,4.19,RU,1594770168
Terrace,54.52,-128.6,14.0,87,90,9.3,CA,1594770168
Grand-Santi,4.25,-54.38,23.16,92,54,1.06,GF,1594770168
Chernelytsya,48.81,25.42,10.84,93,4,1.87,UA,1594770168
Tilichiki,60.47,166.1,10.96,90,100,2.68,RU,1594770168
Leningradskiy,69.38,178.42,5.48,79,100,6.54,RU,1594770168
Fairbanks,64.84,-147.72,21.67,56,75,1.5,US,1594769939
Charters Towers,-20.1,146.27,16.0,36,19,4.58,AU,1594770169
Sambava,-14.27,50.17,20.69,86,55,4.11,MG,1594770169
Hualmay,-11.1,-77.61,16.4,85,36,4.57,PE,1594770169
Hervey Bay,-25.3,152.85,15.0,63,0,4.02,AU,1594770169
At-Bashi,41.17,75.81,10.78,66,30,0.38,KG,1594770169
Nizwá,22.93,57.53,30.41,45,0,0.07,OM,1594770169
Meïganga,6.52,14.3,16.57,97,80,0.78,CM,1594770169
Villanueva,15.32,-88.0,31.0,66,75,7.2,HN,1594770169
Tripoli,32.88,13.19,25.56,64,0,3.18,LY,1594769952
Arrondissement d'Issoudun,47.0,1.83,19.0,77,100,3.1,FR,1594770169
Yārāda,17.65,83.27,26.0,94,75,1.5,IN,1594770169
Aklavik,68.22,-135.01,14.0,82,90,3.1,CA,1594770169
Charagua,-19.8,-63.22,15.1,76,93,1.38,BO,1594770170
Bairiki Village,1.33,172.98,30.0,70,75,2.6,KI,1594770170
Dicabisagan,17.08,122.42,29.58,73,64,2.91,PH,1594770170
Nipawin,53.37,-104.0,20.0,64,20,9.3,CA,1594770170
Tongchuanshi,35.08,109.09,20.05,74,15,0.83,CN,1594770170
Sinjār,36.32,41.88,29.0,19,11,4.41,IQ,1594770170
Kieta,-6.22,155.63,29.3,63,100,1.17,PG,1594770170
Lorengau,-2.02,147.27,29.1,72,93,4.03,PG,1594770170
Biržai,56.2,24.75,9.76,74,66,1.63,LT,1594770170
Arrondissement de Saint-Gaudens,43.08,0.67,17.22,82,75,3.1,FR,1594770170
Waddān,29.16,16.14,24.07,54,0,2.76,LY,1594770171
Vanimo,-2.67,141.3,28.66,70,96,3.19,PG,1594770171
Alice Springs,-23.7,133.88,11.11,55,0,2.1,AU,1594770171
Awjilah,29.11,21.29,26.94,42,0,5.16,LY,1594770171
Itacaré,-14.28,-39.0,22.74,85,10,1.55,BR,1594770171
Kūhdasht,33.53,47.61,18.88,27,0,1.36,IR,1594770171
Bintulu,3.17,113.03,24.0,94,40,0.5,MY,1594770171
West Wendover,40.74,-114.07,32.0,10,1,5.7,US,1594769962
Saint-Leu,-21.15,55.28,20.0,72,20,2.6,RE,1594770171
Batemans Bay,-35.72,150.18,12.78,78,100,1.34,AU,1594770172
Fuyang,32.9,115.82,21.63,97,100,2.13,CN,1594770172
Vila,42.03,-8.16,20.0,63,2,6.7,PT,1594770172
Kabo,7.7,18.63,20.33,90,89,1.1,CF,1594770172
Taos,36.41,-105.57,31.0,18,1,2.6,US,1594770172
Kismayo,-0.36,42.55,25.15,78,91,7.28,SO,1594770172
Kars,40.6,43.09,12.0,81,24,1.0,TR,1594770172
Namatanai,-3.67,152.43,29.2,63,99,1.92,PG,1594770172
Zhicheng,30.3,111.5,22.22,93,95,1.98,CN,1594770172
Blagoyevo,63.37,47.92,12.57,96,43,1.44,RU,1594770172
Manokwari,-0.87,134.08,28.11,71,14,2.21,ID,1594770172
Tsuyama,35.05,134.0,23.33,88,75,3.1,JP,1594770173
Mahajanga,-15.72,46.32,19.0,88,94,2.1,MG,1594770173
Gboko,7.32,9.0,22.38,91,100,4.7,NG,1594770173
London,51.51,-0.13,17.0,59,90,3.1,GB,1594770034
Bilma,18.69,12.92,31.7,15,62,1.62,NE,1594770173
Teseney,15.11,36.66,28.25,55,41,5.22,ER,1594770173
Luanda,-8.84,13.23,21.0,94,75,2.1,AO,1594770173
Santa Ana,33.75,-117.87,29.44,57,20,3.6,US,1594770173
Salgado,-11.03,-37.48,25.0,83,40,1.0,BR,1594770173
Zhuhai,22.28,113.57,31.67,79,20,3.6,CN,1594770173
Sorong,-0.88,131.25,25.78,86,62,3.33,ID,1594770173
Mindelo,16.89,-24.98,26.0,83,40,4.6,CV,1594769953
Touros,-5.2,-35.46,24.0,88,20,2.1,BR,1594770174
Keetmanshoop,-26.58,18.13,7.0,56,0,4.6,NA,1594770174
Raymond,43.9,-70.47,20.0,89,100,0.89,US,1594770174
Tuban,-6.9,112.06,25.09,84,75,2.67,ID,1594770167
Lata,40.16,-8.33,20.0,74,28,1.11,PT,1594770174
Mount Vernon,40.91,-73.84,30.0,35,40,4.6,US,1594769888
Kumul,42.8,93.45,26.7,19,10,3.71,CN,1594770174
Maragogi,-9.01,-35.22,23.52,85,40,2.78,BR,1594770174
Kovdor,67.57,30.48,6.85,94,87,1.18,RU,1594770174
Perm,58.02,56.29,21.0,77,34,1.0,RU,1594770174
Goundam,16.41,-3.67,31.19,49,100,3.74,ML,1594770175
Kiruna,67.86,20.23,9.0,93,99,1.42,SE,1594770175
Mackenzie,55.3,-123.17,14.0,82,90,1.0,CA,1594770175
Smithers,54.78,-127.17,14.0,93,90,3.6,CA,1594770175
Barra dos Coqueiros,-10.91,-37.04,25.0,83,40,1.0,BR,1594770175
Griffith,41.53,-87.42,28.89,54,1,5.1,US,1594770075
Ponneri,13.32,80.2,28.0,88,75,4.16,IN,1594770175
Pandan,14.05,124.17,29.46,72,0,2.7,PH,1594770175
Porto Torres,40.84,8.4,20.0,88,20,1.5,IT,1594770175
Havre-St-Pierre,50.23,-63.6,17.0,63,1,2.6,CA,1594770175
Hīt,33.64,42.83,31.72,17,0,4.51,IQ,1594770175
Safi,32.3,-9.24,22.68,80,0,5.05,MA,1594770006
Okha,53.57,142.95,18.55,75,36,5.19,RU,1594770176
Bongandanga,1.5,21.05,21.9,95,100,0.25,CD,1594770176
Constantine,36.37,6.61,22.0,68,40,3.1,DZ,1594770176
Flinders,-34.58,150.86,13.33,72,97,2.68,AU,1594770176
Krasnosel'kup,65.7,82.47,10.19,73,61,5.64,RU,1594770176
Antofagasta,-23.65,-70.4,13.0,82,5,1.5,CL,1594770144
Sarangani,5.4,125.46,28.73,74,8,5.03,PH,1594770176
Rabaul,-4.2,152.17,28.27,70,66,0.84,PG,1594770176
Ushtobe,45.25,77.98,19.24,67,0,4.05,KZ,1594770176
Albufeira,37.09,-8.25,25.0,88,3,3.1,PT,1594769960
Husavik,66.04,-17.34,11.0,87,90,3.6,IS,1594770176
Aksarka,66.56,67.8,12.27,83,100,2.77,RU,1594770177
Lüderitz,-26.65,15.16,14.0,50,0,6.2,NA,1594770177
Port Hedland,-20.32,118.57,14.0,50,52,4.1,AU,1594770177
Howard Springs,-12.5,131.05,23.89,33,24,5.1,AU,1594770177
Nhulunbuy,-12.23,136.77,25.0,65,40,8.2,AU,1594770177
Umluj,25.02,37.27,27.91,53,0,2.72,SA,1594770177
Nakonde,-9.34,32.74,11.85,77,13,3.31,ZM,1594770177
Makkah al Mukarramah,21.43,39.83,31.22,16,38,2.88,SA,1594770177
Sainte-Rose,16.33,-61.7,28.0,69,75,4.6,GP,1594770178
Mitsamiouli,-11.38,43.28,24.64,70,35,4.09,KM,1594770178
Okhotsk,59.38,143.3,19.46,68,100,2.84,RU,1594770178
Ginir,7.13,40.7,14.22,93,85,4.1,ET,1594770178
Passagem Franca,-6.18,-43.78,25.84,46,24,0.69,BR,1594770178
Outlook,51.5,-107.05,18.89,60,80,2.68,CA,1594770178
Trairi,-3.28,-39.27,24.83,72,8,3.52,BR,1594770178
Koslan,63.46,48.9,13.38,97,47,1.59,RU,1594770178
